action_date_fiscal_year,federal_action_obligation,total_obligated_amount
2008,42001768.58999999,78963373.0
2009,76295137.19999999,176973514.0
2010,83805570.75,192826290.0
2011,65591152.919999994,282704491.81
2012,68825771.41,262306255.0
2013,96590121.88999996,358335892.0
2014,79551976.0,324202493.0
2015,111490171.71,367140242.0
2016,124644489.81000002,443528663.6
2017,175933171.17000002,899534636.4599999
2018,152287652.16,662821581.68
2019,200181644.80999994,683564417.01
2020,15611953.97,174066680.0
